Código Asignatura;Sigla;Asignatura;Nivel;Créditos;Número;Prerrequisito 01 (Código);Prerrequisito 02 (Código);Prerrequisito 03 (Código);Área

MAT-021;MAT-021;Matemáticas I;I;8;1;;;;Ciencias Básicas
IWG-101;IWG-101;Introducción a la Ingeniería;I;3;2;;;;Transversal e Integración
FIS-100;FIS-100;Introducción a la Física;I;6;3;;;;Física
TEL-101;TEL-101;Iniciación a la Programación;I;5;4;;;;Software
HRW-101;HRW-101;Humanístico I;I;3;5;;;;Formación General
DEW-100;DEW-100;Educación Física I;I;2;6;;;;Deportes

MAT-022;MAT-022;Matemáticas II;II;7;7;1;;;Ciencias Básicas
HFW-144;HFW-144;Expresión Oral y Escrita;II;3;8;;;;Formación General
FIS-110;FIS-110;Física General I;II;8;9;1;3;;Física
TEL-102;TEL-102;Seminario de Programación;II;5;10;4;;;Software
HRW-102;HRW-102;Humanístico II;II;3;11;5;;;Formación General
DEW-010;DEW-010;Educación Física II;II;2;12;6;;;Deportes

MAT-023;MAT-023;Matemáticas III;III;7;13;7;;;Ciencias Básicas
ELO-320;ELO-320;Estructura de Datos y Algoritmos;III;5;14;10;;;Software
FIS-120;FIS-120;Física General II;III;8;15;7;9;;Física
ELO-322;ELO-322;Redes de Computadores;III;5;16;4;;;Redes
HCW-100;HCW-100;Inglés 1;III;3;17;;;;Inglés
DEW-110;DEW-110;Deportes;III;2;18;12;;;Deportes

INF-239;INF-239;Bases de Datos;IV;5;19;14;;;Software
TEL-131;TEL-131;Electrónica Digital;IV;5;20;7;15;;Electrónica
TEL-132;TEL-132;Laboratorio de Electrónica Digital;IV;5;21; ;;;Electrónica
ELO-204;ELO-204;Probabilidades y Procesos Aleatorios;IV;7;22;7;;;Ciencias Básicas
HCW-101;HCW-101;Inglés 2;IV;3;23;17;;;Inglés
QUI-010;QUI-010;Química y Sociedad;IV;5;24;;;;Ciencias Básicas

INF-236;INF-236;Análisis y Diseño de Software;V;5;25;19;10;;Software
ELO-329;ELO-329;Diseño y Program. Orientada a Objetos;V;5;26;4;;;Software
FIS-130;FIS-130;Física General III;V;8;27;7;9;;Física
TEL-222;TEL-222;Fundamentos de Transmisión de Señales;V;5;28;13;15;;Telecomunicaciones
TEL-241;TEL-241;Laboratorio de Redes de Computadores;V;5;29;16;;;Redes


INF-225;INF-225;Ingeniería de Software;VI;5;30;25;;;Software
TEL-211;TEL-211;Disponibilidad y Rendimiento de Sistemas TIC;VI;5;31;22;16;;Redes
ELO-241;ELO-241;Laboratorio de Comunicaciones;VI;5;32;28;21;;Telecomunicaciones
MAT-024;MAT-024;Matemáticas IV;VI;6;33;13;;;Ciencias Básicas
TEL-231;TEL-231;Sistemas de Telecomunicaciones;VI;5;34;28;;;Telecomunicaciones
HCW-102;HCW-102;Inglés 3;VI;3;35;23;;;Inglés

ELO-321;ELO-321;Teoría de Sistemas Operativos;VII;5;36;10;;;Software
