N°;Nivel;Asignatura;Código Asignatura;Prerrequisito 01 (Código);Prerrequisito 02 (Código);Prerrequisito 03 (Código);Área
1;I;Introducción a las Ciencias Veterinarias;1;Ingreso;;;area-integrativa
2;I;Fundamentos de la Química;2;Ingreso;;;area-formacion-basica
3;I;Biología Celular y Molecular;3;Ingreso;;;area-formacion-basica
4;I;Matemática;4;Ingreso;;;area-formacion-basica
5;I;Zoología;5;Ingreso;;;area-formacion-basica
6;I;Fundamentos de la Física;6;Ingreso;;;area-formacion-basica
7;II;Anatomía Animal I;7;5;;;area-salud-animal
8;II;Praderas y Especies Forrajeras;8;3;;;area-produccion-animal
9;II;Fundamentos de Bioquímica;9;2;;;area-formacion-basica
10;II;Histoembriología Veterinaria;10;3;;;area-formacion-basica
11;II;Ecología;11;4;5;;area-formacion-basica
12;II;Electivo 1;12;;;;area-electiva
13;III;Anatomía Animal II;13;7;;;area-salud-animal
14;III;Nutrición y Alimentación Animal;14;8;9;;area-produccion-animal
15;III;Fisiología Veterinaria;15;9;10;;area-salud-animal
16;III;Práctica Inicial;16;7;11;;area-integrativa
17;III;Inmunología General;17;3;9;;area-formacion-basica
18;III;Bioestadística;18;4;;;area-formacion-basica
19;III;Electivo 2;19;;;;area-electiva
20;IV;Etología y Bienestar Animal;20;15;;;area-salud-animal
21;IV;Histopatología;21;15;;;area-salud-animal
22;IV;Microbiología Veterinaria;22;17;;;area-salud-animal
23;IV;Conservación de Fauna Silvestre;23;11;;;area-medio-ambiente
24;IV;Métodos de Investigación en Salud;24;18;;;area-formacion-basica
25;IV;Electivo 3;25;;;;area-electiva
26;V;Genética en Ciencias Veterinarias;26;18;;;area-produccion-animal
27;V;Epidemiología Veterinaria;27;24;;;area-salud-publica
28;V;Fisiopatología Veterinaria;28;13;21;;area-salud-animal
29;V;Gestión Ambiental y Desarrollo Sustentable;29;23;;;area-medio-ambiente
30;V;Gestión Contable y Financiera;30;18;;;area-formacion-basica
31;V;Electivo 4;31;;;;area-electiva
32;VI;Semiología veterinaria;32;20;28;;area-salud-animal
33;VI;Reproducción animal;33;28;;;area-salud-animal
34;VI;Anatomía Patológica;34;28;;;area-salud-animal
35;VI;Microbiología de los Alimentos;35;22;24;;area-salud-publica
36;VI;Práctica Intermedia;36;16;20;;area-integrativa
37;VI;Electivo 5;37;;;;area-electiva
38;VII;Sistemas de Producción Animal;38;14;26;;area-produccion-animal
39;VII;Farmacología Veterinaria;39;28;;;area-salud-animal
40;VII;Enfermedades producidas por agentes biológicos I;40;27;35;;area-salud-animal
41;VII;Procedimientos clínicos;41;32;;;area-salud-animal
42;VII;Imagenología;42;34;;;area-salud-animal
43;VII;Inteligencia artificial aplicada a la salud;43;18;;;area-integrativa
44;VIII;Laboratorio clínico y biotecnología;44;34;40;;area-salud-animal
45;VIII;Investigación en Ciencias Veterinarias;45;24;39;;area-integrativa
46;VIII;Enfermedades producidas por agentes biológicos II;46;40;;;area-salud-animal
47;VIII;Principios de cirugía y anestesiología;47;39;41;;area-salud-animal
48;VIII;Medicina interna;48;32;42;;area-salud-animal
49;VIII;Bioética;49;;;;area-formacion-basica
50;IX;Salud Pública Veterinaria;50;46;;;area-salud-publica
51;IX;Unidad de Investigación I;51;45;49;;area-integrativa
52;IX;Internado de Pequeños Animales I;52;44;47;48;area-salud-animal
53;IX;Internado de Animales Mayores I;53;44;47;48;area-salud-animal
54;IX;Formulación y Evaluación de Proyectos Veterinarios;54;30;38;;area-integrativa
55;IX;Gestión Veterinaria;55;30;38;;area-integrativa
56;IX;Práctica Profesional;56;;;;area-integrativa
57;X;Una Salud;57;50;54;;area-salud-publica
58;X;Unidad de Investigación II;58;51;;;area-integrativa
59;X;Internado Electivo;59;;;;
60;X;Orientación Laboral y Responsabilidad Ética en Medicina Veterinaria;60;36;;;area-integrativa
